GDP,Population,Energy_consumption,per_capita_production,Energy_intensity_by_GDP,balance,energy_dependecy,use_intensity_pc,co2_pc,clusters,energy_type,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
311.488,19632.68,0.79,106.003,6.681,4.17,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
311.488,19632.68,0.906,106.003,6.681,0.0,0.003,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
311.488,19632.68,0.001,106.003,6.681,0.063,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
341.795,20096.3,0.462,110.1,6.473,-0.002,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
341.795,20096.3,0.804,110.1,6.473,4.693,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
341.795,20096.3,0.945,110.1,6.473,0.0,0.003,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
341.795,20096.3,0.001,110.1,6.473,0.063,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
362.51,20557.72,0.485,108.053,6.128,-0.001,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
362.51,20557.72,0.826,108.053,6.128,4.671,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
362.51,20557.72,0.909,108.053,6.128,0.0,0.003,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
362.51,20557.72,0.001,108.053,6.128,0.071,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
363.508,21016.93,0.486,109.245,6.316,-0.002,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
363.508,21016.93,0.838,109.245,6.316,4.867,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
363.508,21016.93,0.971,109.245,6.316,0.0,0.003,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
363.508,21016.93,0.001,109.245,6.316,0.111,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
354.968,21474.53,0.526,113.349,6.857,-0.003,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
354.968,21474.53,0.863,113.349,6.857,5.156,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
354.968,21474.53,1.044,113.349,6.857,0.0,0.003,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
354.968,21474.53,0.001,113.349,6.857,0.125,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
368.995,21931.07,0.529,112.769,6.702,-0.004,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
368.995,21931.07,0.883,112.769,6.702,5.504,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
368.995,21931.07,1.06,112.769,6.702,0.0,0.003,0.0,0.003,2,2,0.0,0.0,0.0,0.0,0.0,1.0
368.995,21931.07,0.001,112.769,6.702,0.118,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
368.265,22385.65,0.555,114.926,6.986,-0.004,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
368.265,22385.65,0.872,114.926,6.986,5.955,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
368.265,22385.65,1.144,114.926,6.986,0.0,0.003,0.0,0.003,2,2,0.0,0.0,0.0,0.0,0.0,1.0
368.265,22385.65,0.001,114.926,6.986,0.106,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
381.796,22837.72,0.583,116.629,6.976,-0.004,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
381.796,22837.72,0.896,116.629,6.976,6.668,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
381.796,22837.72,1.184,116.629,6.976,0.0,0.003,0.0,0.003,2,2,0.0,0.0,0.0,0.0,0.0,1.0
381.796,22837.72,0.001,116.629,6.976,0.15,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
382.919,23288.57,0.587,120.836,7.349,-0.002,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
382.919,23288.57,0.903,120.836,7.349,6.411,0.002,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
382.919,23288.57,1.322,120.836,7.349,0.0,0.003,0.0,0.003,2,2,0.0,0.0,0.0,0.0,0.0,1.0
382.919,23288.57,0.002,120.836,7.349,0.218,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
360.057,23739.82,0.614,111.404,7.345,-0.001,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
360.057,23739.82,0.902,111.404,7.345,5.685,0.003,0.0,0.002,2,3,0.0,0.0,0.0,0.0,0.0,1.0
360.057,23739.82,1.126,111.404,7.345,0.0,0.003,0.0,0.003,2,2,0.0,0.0,0.0,0.0,0.0,1.0
360.057,23739.82,0.002,111.404,7.345,0.203,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
373.332,24192.45,0.637,112.935,7.318,-0.002,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
373.332,24192.45,0.949,112.935,7.318,6.404,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
373.332,24192.45,1.144,112.935,7.318,0.0,0.003,0.0,0.002,2,2,0.0,0.0,0.0,0.0,0.0,1.0
373.332,24192.45,0.002,112.935,7.318,0.23,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
386.004,24646.45,0.621,121.581,7.763,-0.002,0.002,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,1.0
